trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
469,True,"{'a': 0, 'e': 0}",30,24,13.328566921619164,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
470,True,"{'a': 0, 'e': 0}",20,6,27.90866418172942,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
471,True,"{'a': 0, 'e': 0}",20,3,28.51546971816041,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
472,True,"{'a': 0, 'e': 0}",25,14,15.04375934440656,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
473,True,"{'a': 0, 'e': 0}",25,16,13.134938360259003,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
474,True,"{'a': 0, 'e': 0}",20,16,8.056562946911221,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
475,True,"{'a': 0, 'e': 0}",30,21,17.142023920220815,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
476,True,"{'a': 0, 'e': 0}",20,14,11.15335603466288,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
477,True,"{'a': 0, 'e': 0}",20,15,7.012640946772204,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
478,True,"{'a': 0, 'e': 0}",35,22,21.661367319584308,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
479,True,"{'a': 0, 'e': 0}",25,19,12.231004464786,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
480,True,"{'a': 0, 'e': 0}",20,12,11.517747184810379,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
481,True,"{'a': 0, 'e': 0}",20,5,26.943393795200212,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
482,True,"{'a': 0, 'e': 0}",20,12,17.48269801410329,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
483,True,"{'a': 0, 'e': 0}",20,16,7.187151320527284,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
484,True,"{'a': 0, 'e': 0}",20,13,12.735642241970767,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
